Table: Heat capacity at saturation pressure [L, G]
Temperature {K} 	Heat capacity at saturation pressure {J/K/mol} 	Uncertainty {J/K/mol} 
182.33	75.5	7.5
183	75.5	7.4
184	75.5	7.2
185	75.6	7.1
186	75.6	7.0
187	75.6	6.9
188	75.7	6.8
189	75.7	6.7
190	75.7	6.5
191	75.8	6.4
192	75.8	6.3
193	75.8	6.2
194	75.9	6.1
195	75.9	6.0
196	76.0	5.9
197	76.0	5.8
198	76.1	5.7
199	76.2	5.6
200	76.2	5.6
201	76.3	5.5
202	76.4	5.4
203	76.4	5.3
204	76.5	5.2
205	76.6	5.1
206	76.7	5.1
207	76.7	5.0
208	76.8	4.9
209	76.9	4.8
210	77.0	4.8
211	77.1	4.7
212	77.2	4.6
213	77.3	4.6
214	77.4	4.5
215	77.5	4.4
216	77.6	4.4
217	77.7	4.3
218	77.9	4.3
219	78.0	4.2
220	78.1	4.1
221	78.2	4.1
222	78.4	4.0
223	78.5	4.0
224	78.6	3.9
225	78.8	3.9
226	78.9	3.8
227	79.1	3.8
228	79.2	3.7
229	79.4	3.7
230	79.5	3.6
231	79.7	3.6
232	79.9	3.5
233	80.1	3.5
234	80.2	3.5
235	80.4	3.4
236	80.6	3.4
237	80.8	3.3
238	81.0	3.3
239	81.2	3.3
240	81.4	3.2
241	81.6	3.2
242	81.8	3.2
243	82.1	3.1
244	82.3	3.1
245	82.5	3.1
246	82.8	3.0
247	83.0	3.0
248	83.3	3.0
249	83.6	2.9
250	83.8	2.9
251	84.1	2.9
252	84.4	2.8
253	84.7	2.8
254	85.0	2.8
255	85.3	2.7
256	85.6	2.7
257	86.0	2.7
258	86.3	2.7
259	86.7	2.6
260	87.0	2.6
261	87.4	2.6
262	87.8	2.5
263	88.2	2.5
264	88.6	2.5
265	89.1	2.5
266	89.5	2.4
267	90.0	2.4
268	90.5	2.4
269	91.0	2.4
270	91.5	2.3
271	92.1	2.3
272	92.6	2.3
273	93.2	2.3
274	93.9	2.2
275	94.5	2.2
276	95.2	2.2
277	95.9	2.2
278	96.7	2.2
279	97.5	2.1
280	98.3	2.1
281	99.2	2.1
282	100.1	2.1
283	101.1	2.1
284	102.2	2.1
285	103.3	2.1
286	104.5	2.1
287	105.8	2.1
288	107.2	2.2
289	108.7	2.2
290	110.3	2.3
291	112.1	2.3
292	114.0	2.4
293	116.1	2.5
294	118.5	2.6
295	121.1	2.8
296	124.1	3.0
297	127.4	3.2
298	131.2	3.5
299	135.6	3.8
300	140.8	4.2
301	147.1	4.8
302	154.7	5.5
303	164.2	6.4
304	176.7	7.7
305	193.9	9.6
306	219	13
307	262	21
308	350	52
309	700	430
309.4	1900	5700
